File,Line,Index,Context
wiki\1988_State_of_Origin_series.html,672,1059,wikidata.org/wiki/Q45
wiki\1988_State_of_Origin_series.html,672,1108,ted data repository i
wiki\1988_State_of_Origin_series.html,672,1152,Wikidata item</a></li
wiki\1988_State_of_Origin_series.html,689,125,w.wikidata.org/wiki/Q
wiki\1st_Strategic_Aerospace_Division.html,44,102,s metadata ambox ambo
wiki\1st_Strategic_Aerospace_Division.html,47,512,"g.png 2x"" data-file-w"
wiki\1st_Strategic_Aerospace_Division.html,47,533,"idth=""48"" data-file-h"
wiki\1st_Strategic_Aerospace_Division.html,57,729,"n.png 2x"" data-file-w"
wiki\1st_Strategic_Aerospace_Division.html,57,751,"dth=""900"" data-file-h"
wiki\1st_Strategic_Aerospace_Division.html,257,550,"g.png 2x"" data-file-w"
wiki\1st_Strategic_Aerospace_Division.html,257,572,"dth=""356"" data-file-h"
wiki\1st_Strategic_Aerospace_Division.html,258,553,"g.png 2x"" data-file-w"
wiki\1st_Strategic_Aerospace_Division.html,258,576,"th=""1235"" data-file-h"
wiki\1st_Strategic_Aerospace_Division.html,273,302,"g.png 2x"" data-file-w"
wiki\1st_Strategic_Aerospace_Division.html,273,324,"dth=""196"" data-file-h"
wiki\1st_Strategic_Aerospace_Division.html,477,574,"d.png 2x"" data-file-w"
wiki\1st_Strategic_Aerospace_Division.html,477,596,"dth=""618"" data-file-h"
wiki\1st_Strategic_Aerospace_Division.html,1092,366,"g.png 2x"" data-file-w"
wiki\1st_Strategic_Aerospace_Division.html,1092,389,"th=""1024"" data-file-h"
wiki\1st_Strategic_Aerospace_Division.html,1110,714,"g.png 2x"" data-file-w"
wiki\1st_Strategic_Aerospace_Division.html,1110,736,"dth=""320"" data-file-h"
wiki\1st_Strategic_Aerospace_Division.html,1566,40,"inks"" data-mw=""interf"
wiki\1st_Strategic_Aerospace_Division.html,1649,1079,wikidata.org/wiki/Q45
wiki\1st_Strategic_Aerospace_Division.html,1649,1128,ted data repository i
wiki\1st_Strategic_Aerospace_Division.html,1649,1172,Wikidata item</a></li
wiki\1st_Strategic_Aerospace_Division.html,1666,124,w.wikidata.org/wiki/Q
wiki\2001_Australian_Individual_Speedway_Championship.html,59,528,"g.png 2x"" data-file-w"
wiki\2001_Australian_Individual_Speedway_Championship.html,59,550,"dth=""900"" data-file-h"
